S0,Option Price
50,50
51,49
52,48
53,47
54,46
55,45
56,44
57,43
58,42
59,41
60,40
61,39
62,38
63,37
64,36
65,35
66,34
67,33
68,32
69,31
70,30
71,29
72,28
73,27
74,26.0015
75,25.019
76,24.0557
77,23.1119
78,22.1878
79,21.284
80,20.4005
81,19.5375
82,18.6957
83,17.8753
84,17.0759
85,16.2989
86,15.5437
87,14.8103
88,14.1001
89,13.4112
90,12.7461
91,12.1023
92,11.4822
93,10.8832
94,10.3079
95,9.75302
96,9.22181
97,8.71096
98,8.22195
99,7.75403
100,7.30543
101,6.87901
102,6.47123
103,6.08207
104,5.71323
105,5.36175
106,5.02715
107,4.71131
108,4.41156
109,4.1272
110,3.85816
111,3.60512
112,3.36588
113,3.13992
114,2.92674
115,2.72686
116,2.53911
117,2.36252
118,2.19658
119,2.04083
120,1.89477
121,1.75858
122,1.63131
123,1.51226
124,1.40102
125,1.29717
126,1.20029
127,1.11
128,1.02592
129,0.947694
130,0.874966
131,0.807405
132,0.744747
133,0.686694
134,0.632853
135,0.58295
136,0.536727
137,0.49394
138,0.454355
139,0.417755
140,0.383934
141,0.352696
142,0.32386
143,0.297306
144,0.272855
145,0.250324
146,0.229569
147,0.210457
148,0.192864
149,0.176676
150,0.161784
