S0,Option Price
50,50
51,49
52,48
53,47
54,46
55,45
56,44
57,43
58,42
59,41
60,40
61,39
62,38
63,37
64,36
65,35
66,34
67,33
68,32
69,31
70,30
71,29
72,28
73,27
74,26
75,25
76,24
77,23
78,22
79,21
80,20
81,19
82,18.0238
83,17.085
84,16.1824
85,15.3158
86,14.4842
87,13.6866
88,12.923
89,12.1916
90,11.493
91,10.8249
92,10.188
93,9.58004
94,9.00193
95,8.45083
96,7.92814
97,7.43106
98,6.95985
99,6.51352
100,6.09012
101,5.69109
102,5.31346
103,4.95658
104,4.62125
105,4.30484
106,4.00653
107,3.7272
108,3.46461
109,3.21782
110,2.98635
111,2.77041
112,2.56809
113,2.37869
114,2.20154
115,2.03673
116,1.88321
117,1.74004
118,1.60663
119,1.48243
120,1.36692
121,1.25998
122,1.16085
123,1.06888
124,0.983602
125,0.904605
126,0.831485
127,0.763856
128,0.701355
129,0.643636
130,0.590373
131,0.541258
132,0.496029
133,0.454424
134,0.41612
135,0.380873
136,0.348457
137,0.318663
138,0.291292
139,0.266162
140,0.243099
141,0.221946
142,0.202554
143,0.184816
144,0.168588
145,0.153734
146,0.140141
147,0.127706
148,0.116335
149,0.105939
150,0.0964381
